Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type,Location of Breached Information,Business Associate Present,Breach Submission Time,Breach Submission Datetime,Year,,
Specialized Treatment Facility,MS,Healthcare Provider,1059,8/12/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,8/12/2022 0:00,2022,,
Rock County Human Services Department,WI,Healthcare Provider,25610,8/12/2022,Hacking/IT Incident,Email,No,12:00:00 AM,8/12/2022 0:00,2022,,
Lamoille Health Partners,VT,Healthcare Provider,59381,8/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/11/2022 0:00,2022,,
"DataStat, Inc.",MI,Business Associate,1650,8/8/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,8/8/2022 0:00,2022,,
Maternal and Family Health Services,PA,Healthcare Provider,500,8/8/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/8/2022 0:00,2022,,
Columbia River Mental Health Services,WA,Healthcare Provider,501,8/8/2022,Hacking/IT Incident,Email,No,12:00:00 AM,8/8/2022 0:00,2022,,
"Inline Network Integration, LLC",TX,Business Associate,500,8/5/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/5/2022 0:00,2022,,
Niagara County Department of Mental Health and Substance Abuse,NY,Healthcare Provider,2160,8/5/2022,Hacking/IT Incident,Email,No,12:00:00 AM,8/5/2022 0:00,2022,,
Living Innovations,NH,Healthcare Provider,4000,8/5/2022,Hacking/IT Incident,Email,No,12:00:00 AM,8/5/2022 0:00,2022,,
"Centerstone of Indiana, Inc.",IN,Healthcare Provider,1700,8/4/2022,Hacking/IT Incident,Email,No,12:00:00 AM,8/4/2022 0:00,2022,,
"Practice Resources, LLC",NY,Business Associate,942138,8/4/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/4/2022 0:00,2022,,
"Independent Case Management, INC.",AR,Healthcare Provider,3307,8/3/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/3/2022 0:00,2022,,
"St. Luke's Health System, Ltd.",ID,Healthcare Provider,31573,8/2/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,8/2/2022 0:00,2022,,
Florida Springs Surgery Center,FL,Healthcare Provider,2203,8/1/2022,Hacking/IT Incident,Email,No,12:00:00 AM,8/1/2022 0:00,2022,,
Sentara Williamsburg Regional Medical Center,VA,Healthcare Provider,591,8/1/2022,Loss,Other,No,12:00:00 AM,8/1/2022 0:00,2022,,
"First Choice Community Health Care, Inc.",NM,Healthcare Provider,101541,8/1/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/1/2022 0:00,2022,,
Eventus WholeHealth PLLC,NC,Healthcare Provider,1707,7/29/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/29/2022 0:00,2022,,
"Healthback Holdings, LLC",OK,Healthcare Provider,21114,7/29/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/29/2022 0:00,2022,,
Granbury Eye Clinic,TX,Healthcare Provider,16475,7/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,7/29/2022 0:00,2022,,
Minuteman Senior Services,MA,Healthcare Provider,4000,7/29/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/29/2022 0:00,2022,,
"OneTouchPoint, Inc.",WI,Business Associate,4112892,7/27/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/27/2022 0:00,2022,,
"BHG Holdings, LLC dba Behavioral Health Group",TX,Healthcare Provider,197507,7/27/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/27/2022 0:00,2022,,
Steward Medical Group,FL,Healthcare Provider,2188,7/26/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,7/26/2022 0:00,2022,,
"Conifer Value-Based Care, LLC",CA,Business Associate,2787,7/26/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,7/26/2022 0:00,2022,,
Dr. Manaf Ahmad,TX,Healthcare Provider,3717,7/26/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/26/2022 0:00,2022,,
Allegheny Heath Network,PA,Healthcare Provider,8071,7/26/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/26/2022 0:00,2022,,
"Lawson Products, Inc.",IL,Health Plan,791,7/26/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/26/2022 0:00,2022,,
Santa Rosa County District Schools,FL,Health Plan,9424,7/25/2022,Unauthorized Access/Disclosure,Other,No,12:00:00 AM,7/25/2022 0:00,2022,,
"Scott County, Iowa",IA,Business Associate,1583,7/25/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,7/25/2022 0:00,2022,,
"NuLife Med, LLC",NH,Business Associate,3805,7/25/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/25/2022 0:00,2022,,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,1457,7/25/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/25/2022 0:00,2022,,
Center for Primary Care,GA,Healthcare Provider,2400,7/25/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/25/2022 0:00,2022,,
Radiation Oncology Centers of the Carolinas,NC,Healthcare Provider,1116,7/25/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/25/2022 0:00,2022,,
"Benefit Plan Administrators, Inc.",VA,Business Associate,5004,7/22/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/22/2022 0:00,2022,,
"City of Newport, Rhode Island",RI,Health Plan,6109,7/22/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/22/2022 0:00,2022,,
"Patriot Growth Insurance Services, LLC",PA,Business Associate,4614,7/21/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,7/21/2022 0:00,2022,,
Central Maine Medical Center,ME,Healthcare Provider,11938,7/21/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/21/2022 0:00,2022,,
"Cavender Stores, Ltd Health Plan",TX,Health Plan,4447,7/20/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/20/2022 0:00,2022,,
Dow Rummel Village,SD,Healthcare Provider,1079,7/20/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/20/2022 0:00,2022,,
Keswick Multi-Care Center,MD,Healthcare Provider,1508,7/20/2022,Hacking/IT Incident,Email,No,12:00:00 AM,7/20/2022 0:00,2022,,
Zenith American Solutions,WA,Business Associate,37146,7/20/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,7/20/2022 0:00,2022,,
Goodman Campbell Brain and Spine,IN,Healthcare Provider,362833,7/19/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/19/2022 0:00,2022,,
ProMedica,OH,Healthcare Provider,1178,7/19/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,7/19/2022 0:00,2022,,
"Acts Retirement Services, Inc. and Affiliates",PA,Healthcare Provider,2236,7/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/15/2022 0:00,2022,,
Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center,NH,Healthcare Provider,1201,7/15/2022,Loss,Laptop,No,12:00:00 AM,7/15/2022 0:00,2022,,
Benson Health,NC,Healthcare Provider,28913,7/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/15/2022 0:00,2022,,
"Orthopedic Specialists of North America, PLLC dba OrthoArizona",AZ,Healthcare Provider,2748,7/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/15/2022 0:00,2022,,
"Kaiser Foundation Health Plan, Inc., Southern California",CA,Health Plan,75010,7/15/2022,Theft,Other Portable Electronic Device,No,12:00:00 AM,7/15/2022 0:00,2022,,
East Valley Ophthalmology,AZ,Healthcare Provider,20734,7/15/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,7/15/2022 0:00,2022,,
Washington University School of Medicine,MO,Healthcare Provider,1056,7/14/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/14/2022 0:00,2022,,
"Premere Infinity Rehab, LLC",OR,Business Associate,183254,7/13/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/13/2022 0:00,2022,,
"Avamere Health Services, LLC",OR,Business Associate,197730,7/13/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/13/2022 0:00,2022,,
"Magie Mabrey Hughes Eye Clinic, P.A. dba “Arkansas Retina”",AR,Healthcare Provider,57394,7/13/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,7/13/2022 0:00,2022,,
Blue Shield of California,CA,Health Plan,1506,7/12/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/12/2022 0:00,2022,,
Arlington Skin,VA,Healthcare Provider,17468,7/12/2022,Hacking/IT Incident,Electronic Medical Record,No,12:00:00 AM,7/12/2022 0:00,2022,,
Family Practice Center PC,PA,Healthcare Provider,83969,7/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/11/2022 0:00,2022,,
Southern California United Food & Commercial Workers Unions and Food Employers Benefit Fund,CA,Health Plan,850,7/8/2022,Theft,Paper/Films,No,12:00:00 AM,7/8/2022 0:00,2022,,
Associated Eye Care,MN,Healthcare Provider,40793,7/8/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/8/2022 0:00,2022,,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,878,7/8/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/8/2022 0:00,2022,,
Cornerstone Services,IL,Healthcare Provider,2513,7/8/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/8/2022 0:00,2022,,
Wisconsin Department of Health Services,WI,Health Plan,1698,7/8/2022,Hacking/IT Incident,Other,Yes,12:00:00 AM,7/8/2022 0:00,2022,,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,1089,7/8/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/8/2022 0:00,2022,,
Change Healthcare,GA,Business Associate,1262,7/7/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,7/7/2022 0:00,2022,,
Southwest Health Center,WI,Healthcare Provider,46142,7/5/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/5/2022 0:00,2022,,
Cheyenne Regional Medical Center,WY,Healthcare Provider,1652,7/5/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No,12:00:00 AM,7/5/2022 0:00,2022,,
"WellDyneRx, LLC",FL,Business Associate,43523,7/1/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,7/1/2022 0:00,2022,,
"Dr. Scott Heinlein Andrew, DPM d/b/a Affiliated Foot & Ankle Center",OH,Healthcare Provider,4692,7/1/2022,Hacking/IT Incident,Electronic Medical Record,No,12:00:00 AM,7/1/2022 0:00,2022,,
"Carolina Behavioral Health Alliance, LLC",NC,Business Associate,130922,7/1/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/1/2022 0:00,2022,,
CHRISTUS Spohn Health System Corporation,TX,Healthcare Provider,15062,7/1/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/1/2022 0:00,2022,,
"Professional Finance Company, Inc.",CO,Business Associate,1918941,7/1/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/1/2022 0:00,2022,,
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,17481,6/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/30/2022 0:00,2022,,
Community of Hope D.C.,DC,Healthcare Provider,580,6/30/2022,Hacking/IT Incident,Email,No,12:00:00 AM,6/30/2022 0:00,2022,,
Michigan Avenue Immediate Care,IL,Healthcare Provider,144104,6/30/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/30/2022 0:00,2022,,
"OrthoWest, PC",NE,Healthcare Provider,1369,6/30/2022,Hacking/IT Incident,Email,No,12:00:00 AM,6/30/2022 0:00,2022,,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,628,6/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/30/2022 0:00,2022,,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,1145,6/29/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/29/2022 0:00,2022,,
"Kevin Wolf, DPM d/b/a Goldsboro Podiatry",NC,Healthcare Provider,30669,6/28/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/28/2022 0:00,2022,,
St Joseph Heritage Health,CA,Healthcare Provider,7216,6/28/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/28/2022 0:00,2022,,
"Mattax Neu Prater Eye Center, Inc.",MO,Healthcare Provider,92361,6/28/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,6/28/2022 0:00,2022,,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,735,6/27/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/27/2022 0:00,2022,,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,1267,6/27/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/27/2022 0:00,2022,,
Foxhall Ob Gyn Associates,DC,Healthcare Provider,27000,6/24/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,6/24/2022 0:00,2022,,
Hudson Regional Hospital,NJ,Healthcare Provider,1300,6/22/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/22/2022 0:00,2022,,
Winslow Memorial Hospital d/b/a Little Colorado Medical Center,AZ,Healthcare Provider,1000,6/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/21/2022 0:00,2022,,
Phelps County Regional Medical Center d/b/a Phelps Health,MO,Healthcare Provider,12602,6/21/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/21/2022 0:00,2022,,
Yale New Haven Hospital,CT,Healthcare Provider,19496,6/17/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,6/17/2022 0:00,2022,,
ARC Industries Inc. of Franklin County,OH,Healthcare Provider,22011,6/17/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/17/2022 0:00,2022,,
Aloha Laser Vision,HI,Healthcare Provider,43263,6/17/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,6/17/2022 0:00,2022,,
Help at Home,IL,Healthcare Provider,800,6/17/2022,Improper Disposal,Paper/Films,No,12:00:00 AM,6/17/2022 0:00,2022,,
"Kernersville Eye Surgeons, P.C.",NC,Healthcare Provider,13412,6/17/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,6/17/2022 0:00,2022,,
"Tosoh America, Inc.",OH,Health Plan,880,6/17/2022,Hacking/IT Incident,Email,No,12:00:00 AM,6/17/2022 0:00,2022,,
"New Schryver, LLC d/b/a/ TridentCare",MD,Healthcare Provider,6200,6/16/2022,Theft,Other Portable Electronic Device,No,12:00:00 AM,6/16/2022 0:00,2022,,
City of Cincinnati Health Plan,OH,Health Plan,9769,6/16/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,6/16/2022 0:00,2022,,
Long Vision Center,TX,Healthcare Provider,29237,6/16/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,6/16/2022 0:00,2022,,
"Carolina Eyecare Physicians, LLC",SC,Healthcare Provider,68739,6/16/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,6/16/2022 0:00,2022,,
Liberty Healthcare Group,NC,Healthcare Provider,2191,6/16/2022,Hacking/IT Incident,Email,No,12:00:00 AM,6/16/2022 0:00,2022,,
Mason Tenders’ District Council Welfare Fund,NY,Health Plan,13344,6/16/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/16/2022 0:00,2022,,
Baptist Medical Center,TX,Healthcare Provider,1608549,6/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/15/2022 0:00,2022,,
Resolute Health Hospital,TX,Healthcare Provider,54239,6/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/15/2022 0:00,2022,,
UW Medicine,WA,Healthcare Provider,763,6/15/2022,Theft,Laptop,No,12:00:00 AM,6/15/2022 0:00,2022,,
"Sight Partners Physicians, P.C.",WA,Healthcare Provider,86101,6/14/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,6/14/2022 0:00,2022,,
"DialAmerica Marketing, Inc.",NJ,Business Associate,19796,6/12/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/12/2022 0:00,2022,,
"MCG Health, LLC",WA,Business Associate,793283,6/10/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/10/2022 0:00,2022,,
"Bayshore Brightwaters Rescue Ambulance, Inc.",NY,Healthcare Provider,500,6/10/2022,Hacking/IT Incident,Email,No,12:00:00 AM,6/10/2022 0:00,2022,,
Yuma Regional Medical Center,AZ,Healthcare Provider,737448,6/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/9/2022 0:00,2022,,
"90 Degree Benefits, Inc.",WI,Business Associate,172450,6/9/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/9/2022 0:00,2022,,
"Christiana Spine Center, PA",DE,Healthcare Provider,3500,6/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/9/2022 0:00,2022,,
Heartland Healthcare Services,OH,Healthcare Provider,2763,6/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/9/2022 0:00,2022,,
Chesapeake Eye Center PA,MD,Healthcare Provider,32770,6/9/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/9/2022 0:00,2022,,
Southern Ohio Medical Center,OH,Healthcare Provider,1333,6/8/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/8/2022 0:00,2022,,
CLARENDON HEALTH AND WELLNESS CENTER,SC,Healthcare Provider,3300,6/8/2022,Theft,"Desktop Computer, Electronic Medical Record, Laptop, Other Portable Electronic Device",No,12:00:00 AM,6/8/2022 0:00,2022,,
Orangeburg Eye Center,SC,Healthcare Provider,9000,6/8/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/8/2022 0:00,2022,,
"Bergen's Promise, Inc.",NJ,Business Associate,6948,6/7/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,6/7/2022 0:00,2022,,
Atrium Health at Home,NC,Healthcare Provider,6695,6/7/2022,Hacking/IT Incident,Email,No,12:00:00 AM,6/7/2022 0:00,2022,,
Texas Tech University Health Sciences Center,TX,Healthcare Provider,1290104,6/7/2022,Hacking/IT Incident,Other,Yes,12:00:00 AM,6/7/2022 0:00,2022,,
Grandview Medical Center,AL,Healthcare Provider,1126,6/6/2022,Theft,Paper/Films,No,12:00:00 AM,6/6/2022 0:00,2022,,
"Memorial Community Health, Inc.",NE,Healthcare Provider,1658,6/6/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/6/2022 0:00,2022,,
Spectrum Eye Physicians,CA,Healthcare Provider,175000,6/6/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/6/2022 0:00,2022,,
Kaiser Foundation Health Plan of Washington,WA,Healthcare Provider,69589,6/3/2022,Hacking/IT Incident,Email,No,12:00:00 AM,6/3/2022 0:00,2022,,
Clinivate LLC,CA,Business Associate,77652,6/2/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/2/2022 0:00,2022,,
University of Kansas Health System - Great Bend Campus,KS,Healthcare Provider,926,6/1/2022,Improper Disposal,Paper/Films,No,12:00:00 AM,6/1/2022 0:00,2022,,
Smile Solutions,WA,Healthcare Provider,8000,6/1/2022,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,12:00:00 AM,6/1/2022 0:00,2022,,
"Burman & Zuckerbrod Ophthalmology Associates, P.C.",MI,Healthcare Provider,1337,6/1/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,6/1/2022 0:00,2022,,
Fishman Vision,CA,Healthcare Provider,2646,6/1/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,6/1/2022 0:00,2022,,
"Allied Urological Services, LLC",NY,Business Associate,6280,5/31/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,5/31/2022 0:00,2022,,
Virginia Mason Medical Center,WA,Healthcare Provider,1523,5/31/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/31/2022 0:00,2022,,
AU Health,GA,Healthcare Provider,50631,5/27/2022,Hacking/IT Incident,"Electronic Medical Record, Other",Yes,12:00:00 AM,5/27/2022 0:00,2022,,
Sylvester Eye Care,OK,Healthcare Provider,19377,5/27/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,5/27/2022 0:00,2022,,
"Shields Health Care Group, Inc.",MA,Business Associate,2000000,5/27/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/27/2022 0:00,2022,,
Finkelstein Eye Associates,IL,Healthcare Provider,48587,5/27/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,12:00:00 AM,5/27/2022 0:00,2022,,
University of Chicago Medical Center,IL,Healthcare Provider,2568,5/27/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/27/2022 0:00,2022,,
BJC Health System,MO,Business Associate,500,5/27/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,5/27/2022 0:00,2022,,
"Stephen Sims, MD, PA dba North Lakes Pain Consultants",TX,Healthcare Provider,8620,5/27/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/27/2022 0:00,2022,,
Capsule,NY,Healthcare Provider,27486,5/27/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/27/2022 0:00,2022,,
John Knox Village of Florida,FL,Healthcare Provider,5000,5/27/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/27/2022 0:00,2022,,
NLB Corporation,MI,Health Plan,1943,5/26/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/26/2022 0:00,2022,,
Aon PLC,IL,Business Associate,129682,5/26/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/26/2022 0:00,2022,,
"Comstar, LLC",MA,Business Associate,68957,5/26/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/26/2022 0:00,2022,,
Fred Hutchinson Cancer Center,WA,Healthcare Provider,500,5/25/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/25/2022 0:00,2022,,
"Moyes Eye Center, PC",MO,Healthcare Provider,38000,5/25/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,5/25/2022 0:00,2022,,
The Multiple Sclerosis Center of Atlanta,GA,Healthcare Provider,2820,5/25/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/25/2022 0:00,2022,,
"Family Health Care, Inc",KS,Healthcare Provider,33619,5/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/24/2022 0:00,2022,,
Val Verde Regional Medical Center (“VVRMC”),TX,Healthcare Provider,86562,5/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/24/2022 0:00,2022,,
Allwell Behavioral Health Services,OH,Healthcare Provider,29972,5/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/23/2022 0:00,2022,,
Washington University School of Medicine,MO,Health Plan,500,5/23/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/23/2022 0:00,2022,,
"Creative Hospice Care, Inc. dba Homestead Hospice & Palliative Care",GA,Healthcare Provider,28332,5/23/2022,Hacking/IT Incident,"Email, Laptop",No,12:00:00 AM,5/23/2022 0:00,2022,,
"County of Santa Barbara, Department of Behavioral Wellness",CA,Healthcare Provider,601,5/23/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Laptop",No,12:00:00 AM,5/23/2022 0:00,2022,,
"Oswego County Opportunities, Inc.",NY,Healthcare Provider,7766,5/20/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/20/2022 0:00,2022,,
"Aesto, LLC d/b/a Aesto Health",AL,Business Associate,17400,5/20/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/20/2022 0:00,2022,,
"OE Enterprises, Inc.",NC,Healthcare Provider,4075,5/20/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/20/2022 0:00,2022,,
Alameda Health System,CA,Healthcare Provider,90000,5/20/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/20/2022 0:00,2022,,
Georgia Pain and Spine Care,GA,Healthcare Provider,1056,5/20/2022,Unauthorized Access/Disclosure,Email,Yes,12:00:00 AM,5/20/2022 0:00,2022,,
Partnership HealthPlan of California,CA,Health Plan,854913,5/18/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/18/2022 0:00,2022,,
Bryan County Ambulance Authority,OK,Healthcare Provider,14273,5/18/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/18/2022 0:00,2022,,
Allaire Healthcare Group,NJ,Healthcare Provider,13148,5/17/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/17/2022 0:00,2022,,
Northern Rockies Orthopaedics,MT,Healthcare Provider,6701,5/17/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/17/2022 0:00,2022,,
"Heidell, Pittoni, Murphy & Bach, LLP",NY,Business Associate,114979,5/16/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/16/2022 0:00,2022,,
Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division,MD,Health Plan,2008,5/13/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/13/2022 0:00,2022,,
Parker-Hannifin Corporation Group Health Plans,OH,Health Plan,119513,5/13/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/13/2022 0:00,2022,,
Schneck Medical Center,IN,Healthcare Provider,92311,5/13/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/13/2022 0:00,2022,,
Genetics & IVF Institute,VA,Healthcare Provider,606,5/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/11/2022 0:00,2022,,
Summit Healthcare Association,AZ,Healthcare Provider,1403,5/11/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/11/2022 0:00,2022,,
Motion Picture Industry Health Plan,CA,Health Plan,16838,5/11/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,5/11/2022 0:00,2022,,
RiverKids Pediatric Home Health,TX,Healthcare Provider,3494,5/10/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/10/2022 0:00,2022,,
McKenzie Health System,MI,Healthcare Provider,25318,5/10/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/10/2022 0:00,2022,,
"NuLife Med, LLC",NH,Healthcare Provider,81244,5/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/9/2022 0:00,2022,,
Healthfirst,NY,Health Plan,5048,5/9/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,5/9/2022 0:00,2022,,
"Mindpath Care Centers, North Carolina, PLLC",NC,Healthcare Provider,1781,5/6/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/6/2022 0:00,2022,,
Mississippi Sports Medicine and Orthopaedic Center - MSMOC,MS,Healthcare Provider,500,5/6/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/6/2022 0:00,2022,,
"North Alabama Bone & Joint Clinic, P.C.",AL,Healthcare Provider,500,5/6/2022,Hacking/IT Incident,"Email, Network Server",No,12:00:00 AM,5/6/2022 0:00,2022,,
